unit	arrangements	derivations	witness	seconds
1	2021250	126271	OK	297.9
0	2021250	126116	OK	299.1
2	2021250	126505	OK	299.1
3	2021250	125943	OK	299.3
4	2021250	125972	OK	297.1
5	2021250	125942	OK	297.4
7	2021250	126119	OK	299.3
6	2021250	126513	OK	299.9
11	2021250	125863	OK	270.9
10	2021250	126420	OK	274.8
9	2021250	126434	OK	274.9
8	2021250	126638	OK	278.4
12	2021250	126872	OK	273.1
14	2021250	126138	OK	281.0
13	2021250	126215	OK	281.3
15	2021250	126206	OK	281.9
16	2021250	127226	OK	277.7
18	2021250	126150	OK	272.5
19	2021250	126232	OK	273.3
17	2021250	126254	OK	280.0
20	2021250	126341	OK	276.0
21	2021250	126342	OK	276.8
22	2021250	126093	OK	273.0
23	2021250	126970	OK	284.9
24	2021250	126587	OK	283.5
25	2021250	125934	OK	282.9
26	2021250	126243	OK	285.5
27	2021250	126699	OK	281.5
28	2021250	126234	OK	276.4
29	2021250	126078	OK	278.1
30	2021250	126590	OK	277.2
31	2021250	126781	OK	278.9
