unit	arrangements	derivations	witness	seconds
32	2021250	126113	OK	274.0
36	2021250	126111	OK	279.5
40	2021250	126288	OK	279.5
44	2021250	126829	OK	282.5
48	2021250	126102	OK	284.3
52	2021250	126155	OK	282.8
56	2021250	126350	OK	285.9
60	2021250	127118	OK	290.7
64	2021250	126751	OK	286.7
68	2021250	126254	OK	289.3
72	2021250	126111	OK	289.4
76	2021250	126889	OK	288.0
80	2021250	126725	OK	285.0
84	2021250	126314	OK	283.1
88	2021250	126345	OK	285.1
92	2021250	127275	OK	284.7
96	2021250	126171	OK	275.7
104	2021250	126022	OK	276.8
100	2021250	126164	OK	284.5
108	2021250	126669	OK	281.8
112	2021250	126364	OK	292.2
116	2021250	126365	OK	293.1
120	2021250	126277	OK	291.6
124	2021250	126959	OK	295.2
